English,Chinese
Let's try it.,我們試試看！
Let's have a try.,我們試試看！
Let's give it a try.,我們試試看！
Let's try!,我們試試看！
Let's give it a try!,我們試試看！
Let's try and see!,我們試試看！
I have to go to sleep.,我该去睡觉了。
I have to go to bed.,我该去睡觉了。
I need to hit the sack.,我该去睡觉了。
I need to go to sleep.,我该去睡觉了。
I need to get to bed.,我该去睡觉了。
I need to go to bed.,我该去睡觉了。
What are you doing?,你在干什麼啊？
What're you doing?,你在干什麼啊？
What is this?,這是什麼啊？
What's this?,這是什麼啊？
Today is June 18th and it is Muiriel's birthday!,今天是６月１８号，也是Muiriel的生日！
"It's 18th June today, and also Muiriel's birthday!",今天是６月１８号，也是Muiriel的生日！
"Happy birthday, Muiriel!",生日快乐，Muiriel！
Muiriel is 20 now.,Muiriel现在20岁了。
Muiriel has turned twenty.,Muiriel现在20岁了。
"The password is ""Muiriel"".","密码是""Muiriel""。"
I will be back soon.,我很快就會回來。
I'll return immediately.,我很快就會回來。
I have no idea.,我不知道。
I don't know.,我不知道。
I do not know.,我不知道。
I'm at a loss for words.,我不知道應該說什麼才好。
This is never going to end.,這個永遠完不了了。
I just don't know what to say.,我只是不知道應該說什麼而已……
That was an evil bunny.,那是一隻有惡意的兔子。
That has been an evil rabbit.,那是一隻有惡意的兔子。
I was in the mountains.,我以前在山里。
Is it a recent picture?,那是一张近照吗？
I don't know if I have the time.,我不知道我有沒有時間。
I don't know whether I have time or not.,我不知道我有沒有時間。
For some reason the microphone didn't work earlier.,剛才我的麥克風沒起作用，不知道為什麼。
Everyone must learn on their own in the end.,到了最後，大家一定要靠自己學習。
Education in this world disappoints me.,世界上的教育都讓我失望。
"It is a difficult task, choosing what is ""right"" or ""wrong"", but you have to do it.",选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。
That won't change anything.,這樣做的話什麼都不會改變的。
That will change nothing.,這樣做的話什麼都不會改變的。
It won't change anything.,這樣做的話什麼都不會改變的。
That'll change nothing.,這樣做的話什麼都不會改變的。
This will cost €30.,這個要三十歐元。
This is going to cost thirty euros.,這個要三十歐元。
I make €100 a day.,我一天賺一百歐元。
I earn 100 Euros a day.,我一天賺一百歐元。
I make 100 euros per day.,我一天賺一百歐元。
I make 100 euros a day.,我一天賺一百歐元。
I may give up soon and just nap instead.,也许我会马上放弃然后去打盹。
Maybe I'll just give up soon and take a nap instead.,也许我会马上放弃然后去打盹。
I may give up soon and just take a nap.,也许我会马上放弃然后去打盹。
I might give up soon and have a kip instead.,也许我会马上放弃然后去打盹。
That won't happen.,那是不會發生的。
I'll do my best not to disturb your studying.,我会尽量不打扰你复习。
I will try not to interrupt you while you are studying.,我会尽量不打扰你复习。
I will try not to disturb you while you are studying.,我会尽量不打扰你复习。
I'll try not to disturb you while you're studying.,我会尽量不打扰你复习。
Don't worry about it.,不要擔心。
Don't worry.,不要擔心。
Don't fret.,不要擔心。
Don't be worried.,不要擔心。
I miss you.,我很想你。
I'll call them tomorrow when I come back.,我明天回來的時候會跟他們聯絡。
I always liked mysterious characters more.,我一直都比較喜歡神秘一點的人物。
You should sleep.,你應該去睡覺了吧。
You should go to sleep.,你應該去睡覺了吧。
I'm going to go.,我要走了。
I'm leaving.,我要走了。
I'm going to go now.,我要走了。
I'm taking off.,我要走了。
I told them to send me another ticket.,我請他們再寄給我一張票。
I can't live that kind of life.,我不能这样活着。
I once wanted to be an astrophysicist.,我曾經想過當個太空物理學家。
I never liked biology.,我從來沒喜歡過生物學。
I never liked Biology.,我從來沒喜歡過生物學。
It is unfortunately true.,可惜这是真的。
"Unfortunately, it's true.",可惜这是真的。
It's unfortunately true.,可惜这是真的。
Most people think I'm crazy.,大部份的人覺得我瘋了。
No I'm not; you are!,不，我不是！你才是！
That's MY line!,那是我該說的話!
He's kicking me!,他在踢我！
He is kicking me!,他在踢我！
Are you sure?,你肯定吗？
Seriously?,你肯定吗？
Are you certain?,你肯定吗？
Are you sure about that?,你肯定吗？
Are you positive?,你肯定吗？
Are you sure of this?,你肯定吗？
Then there is a problem...,那就表示有問題...
"Oh, there's a butterfly!",哦！有一隻蝴蝶！
Hurry up.,趕快!
If I could be like that...,如果我可以像那樣的話...
Are you freaking kidding me?!,你是在跟我開玩笑吧？！
"When I grow up, I want to be a king.",我長大後想當國王。
I'm so fat.,我好胖哦。
So what?,那又怎樣?
Then what?,那又怎樣?
"Yeah, and?",那又怎樣?
"Well, what?",那又怎樣?
Well?,那又怎樣?
And?,那又怎樣?
That's because you're a girl.,那是因為妳是女生。
"I'd be unhappy, but I wouldn't kill myself.",我会不高兴，但我不会自杀。
"Back in high school, I got up at 6 a.m. every morning.",以前讀高中的時候﹐我每天早上六點起床。
Why do you ask?,你問這個幹什麼?
How long did you stay?,你待了多久?
I didn't know where it came from.,我不知道它是从哪里来的。
This is not important.,這個不重要。
It's not important.,這個不重要。
Where is the problem?,哪裡有問題?
What is the problem?,哪裡有問題?
"Stop seeing me as a ""normal"" person!",不要再把我当成“正常” 人!
Don't treat me as common people.,不要再把我当成“正常” 人!
"All that which is invented, is true.",所有被发明的都是真的。
"To be surprised, to wonder, is to begin to understand.",感到惊讶、感到惊奇就是明白的开始。
There's no doubt that the universe is infinite.,宇宙毫无疑问是无限的。
There's no doubt: the universe is infinite.,宇宙毫无疑问是无限的。
To be perfect she lacked just one defect.,要变得完美，她就是少了一个缺点。
"And yet, the contrary is always true as well.",然而，相反的理论往往也是真的。
"We don't see things as they are, but as we are.",我们看东西不是看其实质，而是以我们的主观意识看它们的。
The world is a den of crazies.,世界就是一个疯子的囚笼。
This world is just an insane asylum.,世界就是一个疯子的囚笼。
My name is Jack.,我叫Jack。
My name's Jack.,我叫Jack。
Love is never wasted.,从来就没有徒劳的爱情。
Life is what happens to you while you're busy making other plans.,生活就是當你忙著進行你的計劃時總有其他的事情發生。
Not wanting is the same as having.,没有欲望就等于拥有。
Merry Christmas!,聖誕節快樂！
Rome wasn't built in a day.,罗马不是一天建成的。
Rome was not built in a day.,罗马不是一天建成的。
Which country are you from?,你是从哪个国家来的？
What country are you from?,你是从哪个国家来的？
I have to go to sleep.,我该去睡觉了。
I have to go to sleep.,我必须睡了。
Today is June 18th and it is Muiriel's birthday!,今天是６月１８号，也是Muiriel的生日！
Muiriel is 20 now.,Muiriel现在20岁了。
"The password is ""Muiriel"".","密码是""Muiriel""。"
"The password is ""Muiriel"".",密碼是「Muiriel」。
I will be back soon.,我很快就會回來。
I'm at a loss for words.,我不知道應該說什麼才好。
This is never going to end.,這個永遠完不了了。
This is never going to end.,这将永远继续下去。
This is never going to end.,這個永遠結束不了。
I just don't know what to say.,我只是不知道應該說什麼而已……
I just don't know what to say.,我就是不知道說些什麼。
That was an evil bunny.,那是一隻有惡意的兔子。
I was in the mountains.,我以前在山里。
Is it a recent picture?,那是一张近照吗？
I don't know if I have the time.,我不知道我有沒有時間。
Education in this world disappoints me.,世界上的教育都讓我失望。
You're in better shape than I am.,你的體型比我的好。
You are in my way.,你擋住了我的路。
This will cost €30.,這個要三十歐元。
I make €100 a day.,我一天賺一百歐元。
I make €100 a day.,我一天挣一百歐元。
I may give up soon and just nap instead.,也许我会马上放弃然后去打盹。
That won't happen.,那是不會發生的。
I'll do my best not to disturb your studying.,我会尽量不打扰你复习。
I can only wonder if this is the same for everyone else.,我只能问自己这对其他所有人是不是一回事呢。
I suppose it's different when you think about it over the long term.,我认为你考虑久了就会不一样了。
I miss you.,我很想你。
I miss you.,我好想念你。
I miss you.,我想你。
I miss you.,我想念你。
I'll call them tomorrow when I come back.,我明天回來的時候會跟他們聯絡。
I always liked mysterious characters more.,我一直都比較喜歡神秘一點的人物。
I always liked mysterious characters more.,我一直都更喜歡有些神祕的小說人物。
You should sleep.,你應該去睡覺了吧。
I'm going to go.,我要走了。
I told them to send me another ticket.,我請他們再寄給我一張票。
I can't live that kind of life.,我不能这样活着。
I can't live that kind of life.,那种生活方式不适合我。
I once wanted to be an astrophysicist.,我曾經想過當個太空物理學家。
I never liked biology.,我從來沒喜歡過生物學。
The last person I told my idea to thought I was nuts.,最后一个听我说我的主意的人认为我疯了。
It is unfortunately true.,可惜这是真的。
Most people think I'm crazy.,大部份的人覺得我瘋了。
No I'm not; you are!,不，我不是！你才是！
That's MY line!,那是我該說的話!
That's MY line!,那是我的台词！
He's kicking me!,他在踢我！
Are you sure?,你肯定吗？
Are you sure?,你确定吗？
Are you sure?,你确定？
Then there is a problem...,那就表示有問題...
Then there is a problem...,那么就有一个问题...
"Oh, there's a butterfly!",哦！有一隻蝴蝶！
Hurry up.,趕快!
Hurry up.,快點!
Hurry up.,快点！
Hurry up.,快点。
It doesn't surprise me.,这并不让我惊讶。
For some reason I feel more alive at night.,不知道為什麼我夜裡覺得比較有活力。
It depends on the context.,这要看情况。
It depends on the context.,这得看情况。
Are you freaking kidding me?!,你是在跟我開玩笑吧？！
That's the stupidest thing I've ever said.,那是我说过的最愚蠢的话了。
That's the stupidest thing I've ever said.,我曾说过的废话当中那是最愚蠢的一句。
"When I grow up, I want to be a king.",我長大後想當國王。
I'm so fat.,我好胖哦。
So what?,那又怎樣?
"I'm not a real fish, I'm just a mere plushy.",我不是一条真的鱼，我只是一个长毛绒玩具。
I'm just saying!,我只是说说而已！
I've always wondered what it'd be like to have siblings.,我总是想有兄弟姐妹会怎么样。
It would take forever for me to explain everything.,我就算說上三天三夜，恐怕也不能把一切解釋清楚。
It would take forever for me to explain everything.,要都解释的话，需要一辈子的时间。
That's because you're a girl.,那是因為妳是女生。
Let's consider the worst that could happen.,考虑一下最坏的情况下会发生什么。
"I may be antisocial, but it doesn't mean I don't talk to people.","我或许不善于社交,但这并不意味我不和别人交谈。"
"I'd be unhappy, but I wouldn't kill myself.",我会不高兴，但我不会自杀。
"Back in high school, I got up at 6 a.m. every morning.",以前讀高中的時候﹐我每天早上六點起床。
That is somewhat explained at the end.,這在最後得到了莫名的解釋。
I thought you liked to learn new things.,我以為你喜歡學習新事物。
Most people write about their daily life.,大部分人写的东西是关于他们的日常生活的。
"If I could send you a marshmallow, Trang, I would.",Trang，如果我能寄给你一个棉花糖，我会这么做的。
"In order to do that, you have to take risks.",要这么做，你需要冒险。
Why do you ask?,你問這個幹什麼?
I am not an artist. I never had the knack for it.,我不是藝術家，我一點那方面的天賦都沒有。
How long did you stay?,你待了多久?
How long did you stay?,你在那里待了多久？
Innocence is a beautiful thing.,纯真是一件美好的事。
"I don't want to lose my ideas, even though some of them are a bit extreme.",我不想放弃我的想法，虽然一些想法有点极端。
That is intriguing.,那真有趣。
I do not have an account in these forums.,我在这些论坛上没有帐号。
"If anyone was to ask what the point of the story is, I really don't know.",如果有人问起这个故事的用意是什么，我还真不知道。
I didn't know where it came from.,我不知道它是从哪里来的。
I think my living with you has influenced your way of living.,我觉得我和你一起住影响了你生活的方式。
This is not important.,這個不重要。
This is not important.,这不重要。
I didn't like it.,我没有喜欢过。
She's asking how that's possible.,她问这怎么可能。
